"ID","cntry","cntry_code","year","gdppc","gdppc_lag2","gdppc_lag1","pop","unemp","lifeexp","popden","rural","tourarriv","export","import","grossexp","inflation","fertility","industry","biz","evecount","gdppcgr","gdppcgr_lag2","gdppcgr_lag1","TreatBRA","TreatGBR","TreatCAN","TreatZAF","expimp"
34,"Switzerland","CHE",1996,53439.65361,53488.65243,53387.93256,7071850,3.704999924,78.89609756,178.9074,26.4,6730000,41.74085,37.92931,96.18854,0.162163,1.5,28.15851,1.478443592,0,0.096985263,0.465686438,-0.188350751,0,0,0,0,1.10049062321461
35,"Turkey","TUR",1996,14519.24789,12938.7478,13737.99665,59423282,6.629000187,67.57,77.21019,37.347,7966000,21.54266,27.82666,103.3955,77.22351,2.705,30.61805,0.397849726,0,5.68679161,-6.175857236,6.177173081,0,0,0,0,0.774173400616531
36,"United Kingdom","GBR",1996,33525.46762,31746.86904,32793.87091,58166950,8.192000389,77.08780488,240.4288,21.587,22936000,26.15071,25.98262,99.83191,4.120179,1.73,24.92678,2.290067261,1,2.230894646,3.581967517,2.260783613,0,0,0,0,1.0064693244946
37,"United States","USA",1996,44203.43852,42471.14127,43094.95199,269394000,5.451000214,76.02682927,29.41316,22.364,46489000,10.74664,11.94044,101.1938,1.831031,1.976,23.1321,1.209693103,2,2.572195766,2.760927543,1.468787267,0,0,0,0,0.900020434757848
38,"Brazil","BRA",1996,11317.67611,10949.52777,11250.57136,164614688,7.252999783,68.695,19.69513,21.698,2666000,6.73021,8.905382,102.1752,18.45778,2.536,22.34011,1.475965411,0,0.596456353,3.627584918,2.74937515,0,0,0,0,0.755746356529119
39,"China","CHN",1996,2579.835111,2160.869496,2371.560301,1217550000,3.118000031,70.14,129.689,68.084,22765000,17.9233,15.89145,98.37038,6.501096,1.622,47.10429,4.651826651,0,8.782184883,11.78156869,9.750279001,0,0,0,0,1.12785806203965
40,"India","IND",1996,2215.592275,1989.466989,2099.482155,982365243,5.65199995,60.783,330.4078,73.183,2288000,10.38517,11.54432,100.9277,7.575018,3.582,27.91227,0.617479056,0,5.530417086,4.606288441,5.529881465,0,0,0,0,0.899591314170085
41,"Indonesia","IDN",1996,6257.374945,5528.294088,5891.072132,199901228,4.369999886,64.637,110.347,62.765,5034000,25.82455,26.44019,101.5265,8.67651,2.627,43.45578,2.724197886,0,6.21793122,5.83951353,6.562205949,0,0,0,0,0.976715749773356
42,"South Africa","ZAF",1996,9761.73803,9453.161921,9541.174979,42241011,30.19400024,60.595,34.821,45.033,4915000,24.08026,22.58707,99.7474,7.905679,3.023,30.80974,0.553085677,0,2.311696951,0.83317948,0.931043594,0,0,0,0,1.06610817604939
43,"Costa Rica","CRI",1996,10793.27133,10752.99215,10922.3929,3632362,6.162000179,76.765,71.13909,44.533,781000,40.2191,44.27315,104.0541,15.25812,2.755,26.10231,3.674810347,0,-1.182172927,1.873117216,1.5753824,0,0,0,0,0.908430956460067
44,"Russian Federation","RUS",1996,12993.73873,14067.57879,13481.07429,148160042,9.664999962,65.85414634,9.046306,26.633,16208000,26.07299,21.84951,95.18259,46.03638,1.27,35.3467,0.658454456,0,-3.614977841,-12.53979033,-4.122774419,0,0,0,0,1.19329861401926
1,"Australia","AUS",1997,35007.08863,33212.44344,34050.31612,18517000,8.362000465,78.4804878,2.410346,15.364,4318000,19.17481,18.9,99.72519,1.233269,1.778,25.2925,1.86117451,0,2.809878493,2.589244995,2.522767344,0,0,0,0,1.01454021164021
2,"Austria","AUT",1997,42368.52272,40647.83777,41546.73825,7968041,5.149000168,77.3195122,96.48875,38.955,16647000,37.02808,37.83961,100.5768,1.266996,1.39,28.67638,1.254274219,0,1.977975908,2.510912824,2.211434933,0,0,0,0,0.978553425894189
3,"Belgium","BEL",1997,39593.91815,37814.27155,38239.18921,10181245,8.956000328,77.37073171,338.5485,3.076,6037000,64.78658,60.90236,96.11578,0.757637,1.6,26.10987,4.74788988,0,3.542776327,2.170550201,1.123696522,0,0,0,0,1.06377782404491
4,"Canada","CAN",1997,34172.76048,32912.35204,33097.47343,29905948,9.100999832,78.43170732,3.288713,21.66,17669000,38.25932,36.3236,98.27238,1.140878,1.55,28.01151,2.325650141,0,3.248849357,1.636809393,0.562467833,0,0,0,0,1.05329097336167
